,name,film_id,category_id,inventory_film_id
0,PENELOPE GUINESS,1,6,1
1,PENELOPE GUINESS,2,2,2
2,PENELOPE GUINESS,3,13,3
3,PENELOPE GUINESS,4,10,4
4,PENELOPE GUINESS,5,14,5
5,PENELOPE GUINESS,6,4,6
6,PENELOPE GUINESS,7,11,7
7,PENELOPE GUINESS,8,15,8
8,PENELOPE GUINESS,9,10,9
9,PENELOPE GUINESS,10,8,10
10,PENELOPE GUINESS,11,11,11
11,PENELOPE GUINESS,12,3,12
12,PENELOPE GUINESS,13,9,13
13,PENELOPE GUINESS,14,13,14
14,PENELOPE GUINESS,15,11,15
15,PENELOPE GUINESS,16,8,16
16,PENELOPE GUINESS,17,5,17
17,PENELOPE GUINESS,18,4,18
18,PENELOPE GUINESS,19,12,19
19,NICK WAHLBERG,20,6,20
20,NICK WAHLBERG,21,8,21
21,NICK WAHLBERG,22,9,22
22,NICK WAHLBERG,23,1,23
23,NICK WAHLBERG,24,14,24
24,NICK WAHLBERG,25,8,25
25,NICK WAHLBERG,26,13,26
26,NICK WAHLBERG,27,4,27
27,NICK WAHLBERG,28,2,28
28,NICK WAHLBERG,29,13,29
29,NICK WAHLBERG,30,4,30
30,NICK WAHLBERG,31,14,31
31,NICK WAHLBERG,32,9,32
32,NICK WAHLBERG,33,8,33
33,NICK WAHLBERG,34,13,34
34,NICK WAHLBERG,35,3,35
35,NICK WAHLBERG,36,16,36
36,NICK WAHLBERG,37,12,37
37,NICK WAHLBERG,38,8,38
38,NICK WAHLBERG,39,5,39
39,NICK WAHLBERG,40,13,40
40,NICK WAHLBERG,41,10,41
41,NICK WAHLBERG,42,5,42
42,NICK WAHLBERG,43,16,43
43,NICK WAHLBERG,44,7,44
44,ED CHASE,45,12,45
45,ED CHASE,46,6,46
46,ED CHASE,47,15,47
47,ED CHASE,48,16,48
48,ED CHASE,49,1,49
49,ED CHASE,50,9,50
50,ED CHASE,51,13,51
51,ED CHASE,52,1,52
52,ED CHASE,53,6,53
53,ED CHASE,54,4,54
54,ED CHASE,55,6,55
55,ED CHASE,56,6,56
56,ED CHASE,57,15,57
57,ED CHASE,58,4,58
58,ED CHASE,59,7,59
59,ED CHASE,60,7,60
60,ED CHASE,61,13,61
61,ED CHASE,62,7,62
62,ED CHASE,63,6,63
63,ED CHASE,64,14,64
64,ED CHASE,65,9,65
65,ED CHASE,66,6,66
66,JENNIFER DAVIS,67,2,67
67,JENNIFER DAVIS,68,13,68
68,JENNIFER DAVIS,69,1,69
69,JENNIFER DAVIS,70,6,70
70,JENNIFER DAVIS,71,7,71
71,JENNIFER DAVIS,72,16,72
72,JENNIFER DAVIS,73,2,73
73,JENNIFER DAVIS,74,7,74
74,JENNIFER DAVIS,75,12,75
75,JENNIFER DAVIS,76,15,76
76,JENNIFER DAVIS,77,13,77
77,JENNIFER DAVIS,78,6,78
78,JENNIFER DAVIS,79,13,79
79,JENNIFER DAVIS,80,15,80
80,JENNIFER DAVIS,81,6,81
81,JENNIFER DAVIS,82,14,82
82,JENNIFER DAVIS,83,12,83
83,JENNIFER DAVIS,84,14,84
84,JENNIFER DAVIS,85,8,85
